fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2012,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Services and Energy Delivery - CIP,0,0
2012,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,178150503
2012,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,71786035.72
2012,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,7789846
2012,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,28988915.1
2012,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,76568528.94
2012,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,6790858.156
2012,Utilities & Transportation,City Light,Long-Term Purchased Power,Long-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Long-Term Purchased Power,0,284741917
2012,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,2923084.957
2012,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,46196214
2012,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,62449375.34
2012,Utilities & Transportation,City Light,Purchased Power,Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Purchased Power,0,0.3544
2012,Utilities & Transportation,City Light,Short-Term Purchased Power,Short-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Short-Term Purchased Power,0,67121923
2012,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,78472238.62
2012,Utilities & Transportation,City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution - CIP,0,64871719
2011,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,48129845.9
2011,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,27733444.83
2011,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Services and Energy Delivery - CIP,0,133139515
2011,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,142658754
2011,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,68103312.89
2011,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,6461855
2011,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,34981445.58
2011,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,68064440.08
2011,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,6837070.424
2011,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,2876578.051
2011,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,57845507
2011,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,63200413.43
2011,Utilities & Transportation,City Light,Purchased Power,Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Purchased Power,0,338995282.8
2011,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,74139040.22
2010,Utilities & Transportation,City Light,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Conservation Resources and Environmental Affairs O&M,0,46167557.67
2010,Utilities & Transportation,City Light,Customer Services,Customer Services,General Fund,Tax-Supported Fund,Operating Expense,Customer Services,0,26880122.22
2010,Utilities & Transportation,City Light,Customer Services and Energy Delivery - CIP,Customer Services and Energy Delivery - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Services and Energy Delivery - CIP,0,110902133
2010,Utilities & Transportation,City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,150692659
2010,Utilities & Transportation,City Light,Distribution Services,Distribution Services,General Fund,Tax-Supported Fund,Operating Expense,Distribution Services,0,61625166.49
2010,Utilities & Transportation,City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,6391563
2010,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,28928871.19
2010,Utilities & Transportation,City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,65765573.38
2010,Utilities & Transportation,City Light,Human Resources,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,6544318.782
2010,Utilities & Transportation,City Light,Office of Superintendent,Office of Superintendent,General Fund,Tax-Supported Fund,Operating Expense,Office of Superintendent,0,3123479.522
2010,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,46263834
2010,Utilities & Transportation,City Light,Power Supply O&M,Power Supply O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Supply O&M,0,60738166.61
2010,Utilities & Transportation,City Light,Purchased Power,Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Purchased Power,0,405347045.1
2010,Utilities & Transportation,City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,70245290.01
2014,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,2956570
2013,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,2723497.772
2012,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,2566277.06
2011,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,2226034.631
2010,Administration,Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,2253988.055
2015,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,General Fund,Tax-Supported Fund,Operating Expense,Civil Service Commissions,0,518133
2014,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,General Fund,Tax-Supported Fund,Operating Expense,Civil Service Commissions,0,379974
2013,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,General Fund,Tax-Supported Fund,Operating Expense,Civil Service Commissions,0,373371.2869
2012,Administration,Civil Service Commissions,Civil Service Commissions,Civil Service Commissions,General Fund,Tax-Supported Fund,Operating Expense,Civil Service Commissions,0,344266.4331
2015,Administration,Community Police Commission,Office of the Community Police Commission,Office of the Community Police Commission,General Fund,Tax-Supported Fund,Operating Expense,Office of the Community Police Commission,0,818564
2014,Administration,Community Police Commission,Office of the Community Police Commission,Office of the Community Police Commission,General Fund,Tax-Supported Fund,Operating Expense,Office of the Community Police Commission,0,813380
2015,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,7171347
2015,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,16989161
2014,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,6533471
2014,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,16702137
2013,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,6383246.022
2013,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,16108951
2012,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,6169790.022
2012,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,16572628
2011,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,6043666.688
2011,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,18331746
2010,Public Safety,Criminal Justice Contracted Services,Indigent Defense Services,Indigent Defense Services,General Fund,Tax-Supported Fund,Operating Expense,Indigent Defense Services,0,5425163.42
2010,Public Safety,Criminal Justice Contracted Services,Jail Services,Jail Services,General Fund,Tax-Supported Fund,Operating Expense,Jail Services,0,18476851.98
2015,"Funds, Subfunds & Other",Cummulative Reserve Subfund,Artwork Conservation - OACA - CRS-UR,Artwork Conservation - OACA,General Fund,Tax-Supported Fund,Operating Expense,Artwork Conservation - OACA,0,187000
2015,"Funds, Subfunds & Other",Cummulative Reserve Subfund,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,General Fund,Tax-Supported Fund,Operating Expense,CRS REET I Support to McCaw Hall Fund,0,258000
2015,"Funds, Subfunds & Other",Cummulative Reserve Subfund,CRS REET I Support to Transportation,Roads - REET I,General Fund,Tax-Supported Fund,Operating Expense,Roads - REET I,0,3500000
2015,"Funds, Subfunds & Other",Cummulative Reserve Subfund,CRS REET II Support to Transportation,Alaskan Way Viaduct - REET II,General Fund,Tax-Supported Fund,Operating Expense,Alaskan Way Viaduct - REET II,0,1530000
2015,"Funds, Subfunds & Other",Cummulative Reserve Subfund,CRS REET II Support to Transportation,Bridges & Structures - REET II,General Fund,Tax-Supported Fund,Operating Expense,Bridges & Structures - REET II,0,2675000
